dataset,metric,alpha,beta,gamma,run,accuracy,tree_depth,tree_size,training_time
iris,itc_alpha1.0_beta4.0_gamma0.7,1.0,4.0,0.7,1,0.9777777777777777,6,17,0.11792182922363281
iris,itc_alpha1.0_beta4.0_gamma0.7,1.0,4.0,0.7,2,0.9555555555555556,4,13,0.09256720542907715
iris,itc_alpha1.0_beta4.5_gamma0.1,1.0,4.5,0.1,0,0.9333333333333333,6,13,0.11295080184936523
iris,itc_alpha1.0_beta4.5_gamma0.1,1.0,4.5,0.1,1,0.9777777777777777,5,15,0.13689231872558594
iris,itc_alpha1.0_beta4.5_gamma0.1,1.0,4.5,0.1,2,0.9555555555555556,4,11,0.10557079315185547
iris,itc_alpha1.0_beta4.5_gamma0.2,1.0,4.5,0.2,0,0.8888888888888888,6,13,0.10530376434326172
iris,itc_alpha1.0_beta4.5_gamma0.2,1.0,4.5,0.2,1,0.9777777777777777,5,15,0.13100051879882812
iris,itc_alpha1.0_beta4.5_gamma0.2,1.0,4.5,0.2,2,0.9555555555555556,4,11,0.12236857414245605
iris,itc_alpha1.0_beta4.5_gamma0.3,1.0,4.5,0.3,0,0.9333333333333333,6,15,0.09602642059326172
iris,itc_alpha1.0_beta4.5_gamma0.3,1.0,4.5,0.3,1,0.9777777777777777,5,15,0.12505388259887695
iris,itc_alpha1.0_beta4.5_gamma0.3,1.0,4.5,0.3,2,0.9555555555555556,5,15,0.10815072059631348
iris,itc_alpha1.0_beta4.5_gamma0.4,1.0,4.5,0.4,0,0.9333333333333333,6,15,0.11168384552001953
iris,itc_alpha1.0_beta4.5_gamma0.4,1.0,4.5,0.4,1,0.9555555555555556,6,19,0.12873601913452148
iris,itc_alpha1.0_beta4.5_gamma0.4,1.0,4.5,0.4,2,0.9555555555555556,4,13,0.09195709228515625
iris,itc_alpha1.0_beta4.5_gamma0.5,1.0,4.5,0.5,0,0.9333333333333333,6,15,0.11044096946716309
iris,itc_alpha1.0_beta4.5_gamma0.5,1.0,4.5,0.5,1,0.9555555555555556,6,19,0.12629389762878418
iris,itc_alpha1.0_beta4.5_gamma0.5,1.0,4.5,0.5,2,0.9555555555555556,4,13,0.09245800971984863
iris,itc_alpha1.0_beta4.5_gamma0.6,1.0,4.5,0.6,0,0.9333333333333333,6,15,0.11085367202758789
iris,itc_alpha1.0_beta4.5_gamma0.6,1.0,4.5,0.6,1,0.9777777777777777,6,17,0.12546062469482422
iris,itc_alpha1.0_beta4.5_gamma0.6,1.0,4.5,0.6,2,0.9555555555555556,4,13,0.09207296371459961
iris,itc_alpha1.0_beta4.5_gamma0.7,1.0,4.5,0.7,0,0.9333333333333333,6,15,0.11120247840881348
iris,itc_alpha1.0_beta4.5_gamma0.7,1.0,4.5,0.7,1,0.9777777777777777,6,17,0.13377594947814941
iris,itc_alpha1.0_beta4.5_gamma0.7,1.0,4.5,0.7,2,0.9555555555555556,4,13,0.09279441833496094
iris,itc_alpha1.3_beta2.0_gamma0.1,1.3,2.0,0.1,0,0.8666666666666667,5,13,0.10284423828125
iris,itc_alpha1.3_beta2.0_gamma0.1,1.3,2.0,0.1,1,0.9777777777777777,4,11,0.12155365943908691
iris,itc_alpha1.3_beta2.0_gamma0.1,1.3,2.0,0.1,2,0.9555555555555556,4,11,0.12221097946166992
iris,itc_alpha1.3_beta2.0_gamma0.2,1.3,2.0,0.2,0,0.9111111111111111,5,15,0.12019824981689453
iris,itc_alpha1.3_beta2.0_gamma0.2,1.3,2.0,0.2,1,0.9777777777777777,5,15,0.13765311241149902
iris,itc_alpha1.3_beta2.0_gamma0.2,1.3,2.0,0.2,2,0.9555555555555556,4,11,0.10430693626403809
iris,itc_alpha1.3_beta2.0_gamma0.3,1.3,2.0,0.3,0,0.9111111111111111,5,15,0.10342669486999512
iris,itc_alpha1.3_beta2.0_gamma0.3,1.3,2.0,0.3,1,0.9777777777777777,5,15,0.1237630844116211
iris,itc_alpha1.3_beta2.0_gamma0.3,1.3,2.0,0.3,2,0.9555555555555556,4,11,0.11074352264404297
iris,itc_alpha1.3_beta2.0_gamma0.4,1.3,2.0,0.4,0,0.9111111111111111,5,15,0.1027371883392334
iris,itc_alpha1.3_beta2.0_gamma0.4,1.3,2.0,0.4,1,0.9777777777777777,5,15,0.12416219711303711
iris,itc_alpha1.3_beta2.0_gamma0.4,1.3,2.0,0.4,2,0.9555555555555556,5,15,0.12323689460754395
iris,itc_alpha1.3_beta2.0_gamma0.5,1.3,2.0,0.5,0,0.9333333333333333,6,15,0.09298539161682129
iris,itc_alpha1.3_beta2.0_gamma0.5,1.3,2.0,0.5,1,0.9555555555555556,6,19,0.12231922149658203
iris,itc_alpha1.3_beta2.0_gamma0.5,1.3,2.0,0.5,2,0.9555555555555556,4,13,0.09234237670898438
iris,itc_alpha1.3_beta2.0_gamma0.6,1.3,2.0,0.6,0,0.9333333333333333,6,15,0.10269546508789062
iris,itc_alpha1.3_beta2.0_gamma0.6,1.3,2.0,0.6,1,0.9555555555555556,6,19,0.12262368202209473
iris,itc_alpha1.3_beta2.0_gamma0.6,1.3,2.0,0.6,2,0.9555555555555556,4,13,0.09045195579528809
iris,itc_alpha1.3_beta2.0_gamma0.7,1.3,2.0,0.7,0,0.9333333333333333,6,15,0.10761070251464844
iris,itc_alpha1.3_beta2.0_gamma0.7,1.3,2.0,0.7,1,0.9555555555555556,6,19,0.13774919509887695
iris,itc_alpha1.3_beta2.0_gamma0.7,1.3,2.0,0.7,2,0.9555555555555556,4,13,0.08995676040649414
iris,itc_alpha1.3_beta2.5_gamma0.1,1.3,2.5,0.1,0,0.8666666666666667,5,13,0.11943697929382324
iris,itc_alpha1.3_beta2.5_gamma0.1,1.3,2.5,0.1,1,0.9777777777777777,4,11,0.11562299728393555
iris,itc_alpha1.3_beta2.5_gamma0.1,1.3,2.5,0.1,2,0.9555555555555556,4,11,0.12144589424133301
iris,itc_alpha1.3_beta2.5_gamma0.2,1.3,2.5,0.2,0,0.8666666666666667,5,13,0.11882877349853516
iris,itc_alpha1.3_beta2.5_gamma0.2,1.3,2.5,0.2,1,0.9777777777777777,5,15,0.16173744201660156
iris,itc_alpha1.3_beta2.5_gamma0.2,1.3,2.5,0.2,2,0.9555555555555556,4,11,0.10521745681762695
iris,itc_alpha1.3_beta2.5_gamma0.3,1.3,2.5,0.3,0,0.9111111111111111,5,15,0.10478901863098145
iris,itc_alpha1.3_beta2.5_gamma0.3,1.3,2.5,0.3,1,0.9777777777777777,5,15,0.12445354461669922
iris,itc_alpha1.3_beta2.5_gamma0.3,1.3,2.5,0.3,2,0.9555555555555556,4,11,0.11307191848754883
iris,itc_alpha1.3_beta2.5_gamma0.4,1.3,2.5,0.4,0,0.9333333333333333,6,15,0.10925555229187012
iris,itc_alpha1.3_beta2.5_gamma0.4,1.3,2.5,0.4,1,0.9777777777777777,5,15,0.12408089637756348
iris,itc_alpha1.3_beta2.5_gamma0.4,1.3,2.5,0.4,2,0.9555555555555556,5,15,0.1075897216796875
iris,itc_alpha1.3_beta2.5_gamma0.5,1.3,2.5,0.5,0,0.9333333333333333,6,15,0.0927889347076416
iris,itc_alpha1.3_beta2.5_gamma0.5,1.3,2.5,0.5,1,0.9555555555555556,6,19,0.12386155128479004
iris,itc_alpha1.3_beta2.5_gamma0.5,1.3,2.5,0.5,2,0.9555555555555556,4,13,0.09008216857910156
iris,itc_alpha1.3_beta2.5_gamma0.6,1.3,2.5,0.6,0,0.9333333333333333,6,15,0.10037803649902344
iris,itc_alpha1.3_beta2.5_gamma0.6,1.3,2.5,0.6,1,0.9555555555555556,6,19,0.12659621238708496
iris,itc_alpha1.3_beta2.5_gamma0.6,1.3,2.5,0.6,2,0.9555555555555556,4,13,0.090240478515625
iris,itc_alpha1.3_beta2.5_gamma0.7,1.3,2.5,0.7,0,0.9333333333333333,6,15,0.1082608699798584
iris,itc_alpha1.3_beta2.5_gamma0.7,1.3,2.5,0.7,1,0.9555555555555556,6,19,0.12250757217407227
iris,itc_alpha1.3_beta2.5_gamma0.7,1.3,2.5,0.7,2,0.9555555555555556,4,13,0.10120344161987305
iris,itc_alpha1.3_beta3.0_gamma0.1,1.3,3.0,0.1,0,0.8666666666666667,5,13,0.10512995719909668
iris,itc_alpha1.3_beta3.0_gamma0.1,1.3,3.0,0.1,1,0.9111111111111111,5,15,0.11281681060791016
iris,itc_alpha1.3_beta3.0_gamma0.1,1.3,3.0,0.1,2,0.9555555555555556,4,11,0.10577940940856934
iris,itc_alpha1.3_beta3.0_gamma0.2,1.3,3.0,0.2,0,0.8666666666666667,5,13,0.12736105918884277
iris,itc_alpha1.3_beta3.0_gamma0.2,1.3,3.0,0.2,1,0.9777777777777777,5,15,0.12543964385986328
iris,itc_alpha1.3_beta3.0_gamma0.2,1.3,3.0,0.2,2,0.9555555555555556,4,11,0.10362434387207031
iris,itc_alpha1.3_beta3.0_gamma0.3,1.3,3.0,0.3,0,0.9111111111111111,5,15,0.11468815803527832
iris,itc_alpha1.3_beta3.0_gamma0.3,1.3,3.0,0.3,1,0.9777777777777777,5,15,0.12569069862365723
iris,itc_alpha1.3_beta3.0_gamma0.3,1.3,3.0,0.3,2,0.9555555555555556,4,11,0.10948610305786133
iris,itc_alpha1.3_beta3.0_gamma0.4,1.3,3.0,0.4,0,0.9333333333333333,6,15,0.10986757278442383
iris,itc_alpha1.3_beta3.0_gamma0.4,1.3,3.0,0.4,1,0.9777777777777777,5,15,0.13527393341064453
iris,itc_alpha1.3_beta3.0_gamma0.4,1.3,3.0,0.4,2,0.9555555555555556,5,15,0.10536336898803711
iris,itc_alpha1.3_beta3.0_gamma0.5,1.3,3.0,0.5,0,0.9333333333333333,6,15,0.10851478576660156
iris,itc_alpha1.3_beta3.0_gamma0.5,1.3,3.0,0.5,1,0.9555555555555556,6,19,0.12150073051452637
iris,itc_alpha1.3_beta3.0_gamma0.5,1.3,3.0,0.5,2,0.9555555555555556,4,13,0.09041786193847656
iris,itc_alpha1.3_beta3.0_gamma0.6,1.3,3.0,0.6,0,0.9333333333333333,6,15,0.09275436401367188
iris,itc_alpha1.3_beta3.0_gamma0.6,1.3,3.0,0.6,1,0.9555555555555556,6,19,0.12339472770690918
iris,itc_alpha1.3_beta3.0_gamma0.6,1.3,3.0,0.6,2,0.9555555555555556,4,13,0.09294652938842773
iris,itc_alpha1.3_beta3.0_gamma0.7,1.3,3.0,0.7,0,0.9333333333333333,6,15,0.09899735450744629
iris,itc_alpha1.3_beta3.0_gamma0.7,1.3,3.0,0.7,1,0.9555555555555556,6,19,0.12592554092407227
iris,itc_alpha1.3_beta3.0_gamma0.7,1.3,3.0,0.7,2,0.9555555555555556,4,13,0.09622526168823242
iris,itc_alpha1.3_beta3.5_gamma0.1,1.3,3.5,0.1,0,0.8666666666666667,5,13,0.11888360977172852
iris,itc_alpha1.3_beta3.5_gamma0.1,1.3,3.5,0.1,1,0.9777777777777777,5,17,0.13250398635864258
iris,itc_alpha1.3_beta3.5_gamma0.1,1.3,3.5,0.1,2,0.9555555555555556,4,11,0.10363984107971191
iris,itc_alpha1.3_beta3.5_gamma0.2,1.3,3.5,0.2,0,0.8666666666666667,5,13,0.1218268871307373
iris,itc_alpha1.3_beta3.5_gamma0.2,1.3,3.5,0.2,1,0.9777777777777777,5,15,0.12831783294677734
iris,itc_alpha1.3_beta3.5_gamma0.2,1.3,3.5,0.2,2,0.9555555555555556,4,11,0.1108083724975586
iris,itc_alpha1.3_beta3.5_gamma0.3,1.3,3.5,0.3,0,0.9333333333333333,6,15,0.10858416557312012
iris,itc_alpha1.3_beta3.5_gamma0.3,1.3,3.5,0.3,1,0.9777777777777777,5,15,0.12528085708618164
iris,itc_alpha1.3_beta3.5_gamma0.3,1.3,3.5,0.3,2,0.9555555555555556,4,11,0.11956977844238281
iris,itc_alpha1.3_beta3.5_gamma0.4,1.3,3.5,0.4,0,0.9333333333333333,6,15,0.09280920028686523
iris,itc_alpha1.3_beta3.5_gamma0.4,1.3,3.5,0.4,1,0.9777777777777777,5,15,0.11971569061279297
iris,itc_alpha1.3_beta3.5_gamma0.4,1.3,3.5,0.4,2,0.9555555555555556,5,15,0.10518264770507812
iris,itc_alpha1.3_beta3.5_gamma0.5,1.3,3.5,0.5,0,0.9333333333333333,6,15,0.09528708457946777
iris,itc_alpha1.3_beta3.5_gamma0.5,1.3,3.5,0.5,1,0.9555555555555556,6,19,0.12566018104553223
iris,itc_alpha1.3_beta3.5_gamma0.5,1.3,3.5,0.5,2,0.9555555555555556,4,13,0.09422016143798828
iris,itc_alpha1.3_beta3.5_gamma0.6,1.3,3.5,0.6,0,0.9333333333333333,6,15,0.10767674446105957
iris,itc_alpha1.3_beta3.5_gamma0.6,1.3,3.5,0.6,1,0.9555555555555556,6,19,0.12589406967163086
iris,itc_alpha1.3_beta3.5_gamma0.6,1.3,3.5,0.6,2,0.9555555555555556,4,13,0.09038424491882324
iris,itc_alpha1.3_beta3.5_gamma0.7,1.3,3.5,0.7,0,0.9333333333333333,6,15,0.10741639137268066
iris,itc_alpha1.3_beta3.5_gamma0.7,1.3,3.5,0.7,1,0.9555555555555556,6,19,0.12198996543884277
iris,itc_alpha1.3_beta3.5_gamma0.7,1.3,3.5,0.7,2,0.9555555555555556,4,13,0.08971667289733887
iris,itc_alpha1.3_beta4.0_gamma0.1,1.3,4.0,0.1,0,0.8666666666666667,5,13,0.12088346481323242
iris,itc_alpha1.3_beta4.0_gamma0.1,1.3,4.0,0.1,1,0.9777777777777777,5,17,0.14066815376281738
iris,itc_alpha1.3_beta4.0_gamma0.1,1.3,4.0,0.1,2,0.9555555555555556,4,11,0.11607789993286133
iris,itc_alpha1.3_beta4.0_gamma0.2,1.3,4.0,0.2,0,0.8666666666666667,5,13,0.11837029457092285
iris,itc_alpha1.3_beta4.0_gamma0.2,1.3,4.0,0.2,1,0.9777777777777777,5,15,0.1289372444152832
iris,itc_alpha1.3_beta4.0_gamma0.2,1.3,4.0,0.2,2,0.9555555555555556,4,11,0.10866737365722656
iris,itc_alpha1.3_beta4.0_gamma0.3,1.3,4.0,0.3,0,0.9333333333333333,6,15,0.1057732105255127
iris,itc_alpha1.3_beta4.0_gamma0.3,1.3,4.0,0.3,1,0.9777777777777777,5,15,0.12284231185913086
iris,itc_alpha1.3_beta4.0_gamma0.3,1.3,4.0,0.3,2,0.9555555555555556,4,11,0.12109494209289551
iris,itc_alpha1.3_beta4.0_gamma0.4,1.3,4.0,0.4,0,0.9333333333333333,6,15,0.09908437728881836
iris,itc_alpha1.3_beta4.0_gamma0.4,1.3,4.0,0.4,1,0.9777777777777777,5,15,0.12250041961669922
iris,itc_alpha1.3_beta4.0_gamma0.4,1.3,4.0,0.4,2,0.9555555555555556,5,15,0.11732339859008789
iris,itc_alpha1.3_beta4.0_gamma0.5,1.3,4.0,0.5,0,0.9555555555555556,5,15,0.10456252098083496
