dataset,metric,run,accuracy,log_loss,tree_depth,tree_size,training_time,n_features,n_classes,n_samples
digits,itc_alpha1.3,0,0.812962962962963,6.74149813389043,12,211,14.263190984725952,64,10,1797
digits,itc_alpha1.7,0,0.8296296296296296,6.140770577405145,11,223,13.940305471420288,64,10,1797
digits,shannon_polarization,0,0.8592592592592593,5.0728104769868585,10,209,13.448233842849731,64,10,1797
digits,tsallis_hellinger,0,0.8629629629629629,4.939315464434572,9,189,14.652793407440186,64,10,1797
digits,gini,1,0.8537037037037037,5.273052995815287,15,277,7.81128716468811,64,10,1797
digits,shannon,1,0.8648148148148148,4.872567958158429,10,231,8.087693929672241,64,10,1797
digits,misclassification,1,0.8296296296296296,6.140770577405145,20,287,9.277061223983765,64,10,1797
digits,renyi_0.5,1,0.8722222222222222,4.605577933053858,10,213,8.348721504211426,64,10,1797
digits,renyi_2.0,1,0.8333333333333334,6.007275564852859,18,277,10.585388898849487,64,10,1797
digits,tsallis_0.5,1,0.8833333333333333,4.205092895397001,10,209,7.915638208389282,64,10,1797
digits,tsallis_1.3,1,0.8240740740740741,6.3410130962335725,13,247,8.784812450408936,64,10,1797
digits,tsallis_2.0,1,0.8537037037037037,5.273052995815287,15,277,9.284800291061401,64,10,1797
digits,norm_tsallis_1.3,1,0.8314814814814815,6.074023071129002,13,243,9.20144534111023,64,10,1797
digits,kumaraswamy,1,0.8314814814814815,6.074023071129002,15,251,10.285032510757446,64,10,1797
digits,cross_entropy,1,0.10185185185185185,32.37254054392928,0,1,0.23922371864318848,64,10,1797
digits,kl_divergence,1,0.10185185185185185,32.37254054392928,0,1,0.2369997501373291,64,10,1797
digits,js_divergence,1,0.10185185185185185,32.37254054392928,0,1,0.2811870574951172,64,10,1797
digits,hellinger,1,0.10185185185185185,32.37254054392928,0,1,0.2477116584777832,64,10,1797
digits,energy,1,0.10185185185185185,32.37254054392928,0,1,0.22887563705444336,64,10,1797
digits,polarization_3.5,1,0.45740740740740743,19.55701933890986,13,195,12.087111473083496,64,10,1797
digits,bregman_squared,1,0.10185185185185185,32.37254054392928,0,1,0.2582688331604004,64,10,1797
digits,bregman_entropy,1,0.10185185185185185,32.37254054392928,0,1,0.3563969135284424,64,10,1797
digits,itc,1,0.837037037037037,5.873780552300572,10,243,14.661836624145508,64,10,1797
digits,itc_alpha1.3,1,0.8462962962962963,5.5400430209198595,10,231,14.396215915679932,64,10,1797
digits,itc_alpha1.7,1,0.8481481481481481,5.473295514643715,11,247,14.504396438598633,64,10,1797
digits,shannon_polarization,1,0.8296296296296296,6.140770577405145,11,235,14.438473224639893,64,10,1797
digits,tsallis_hellinger,1,0.8574074074074074,5.139557983263002,10,225,15.607471704483032,64,10,1797
digits,gini,2,0.8648148148148148,4.872567958158429,14,263,7.481461524963379,64,10,1797
digits,shannon,2,0.8388888888888889,5.80703304602443,9,243,8.20374608039856,64,10,1797
digits,misclassification,2,0.8277777777777777,6.207518083681287,12,287,8.645831108093262,64,10,1797
digits,renyi_0.5,2,0.8740740740740741,4.538830426777715,10,209,8.103665828704834,64,10,1797
digits,renyi_2.0,2,0.8537037037037037,5.273052995815287,13,271,10.17139720916748,64,10,1797
digits,tsallis_0.5,2,0.8611111111111112,5.006062970710715,9,201,7.569464445114136,64,10,1797
digits,tsallis_1.3,2,0.8425925925925926,5.673538033472145,9,235,8.553140878677368,64,10,1797
digits,tsallis_2.0,2,0.8648148148148148,4.872567958158429,14,263,9.194004535675049,64,10,1797
digits,norm_tsallis_1.3,2,0.8314814814814815,6.074023071129002,9,229,8.48861026763916,64,10,1797
digits,kumaraswamy,2,0.8425925925925926,5.673538033472145,16,261,9.924983978271484,64,10,1797
digits,cross_entropy,2,0.10185185185185185,32.37254054392929,0,1,0.2402639389038086,64,10,1797
digits,kl_divergence,2,0.10185185185185185,32.37254054392929,0,1,0.23910021781921387,64,10,1797
digits,js_divergence,2,0.10185185185185185,32.37254054392929,0,1,0.27949047088623047,64,10,1797
digits,hellinger,2,0.10185185185185185,32.37254054392929,0,1,0.24385476112365723,64,10,1797
digits,energy,2,0.10185185185185185,32.37254054392929,0,1,0.22970056533813477,64,10,1797
digits,polarization_3.5,2,0.37592592592592594,22.493909615060147,9,129,8.352758884429932,64,10,1797
digits,bregman_squared,2,0.10185185185185185,32.37254054392929,0,1,0.2581651210784912,64,10,1797
digits,bregman_entropy,2,0.10185185185185185,32.37254054392929,0,1,0.35829901695251465,64,10,1797
digits,itc,2,0.8444444444444444,5.606790527196001,11,213,13.121223211288452,64,10,1797
digits,itc_alpha1.3,2,0.8592592592592593,5.0728104769868585,13,219,13.624869346618652,64,10,1797
digits,itc_alpha1.7,2,0.8425925925925926,5.673538033472145,11,227,13.01465392112732,64,10,1797
digits,shannon_polarization,2,0.8314814814814815,6.074023071129002,9,207,13.359726905822754,64,10,1797
digits,tsallis_hellinger,2,0.825925925925926,6.27426558995743,10,235,15.150140762329102,64,10,1797
digits,gini,3,0.8203703703703704,6.474508108785859,15,259,7.623106956481934,64,10,1797
digits,shannon,3,0.8240740740740741,6.3410130962335725,10,223,8.009220838546753,64,10,1797
digits,misclassification,3,0.8555555555555555,5.206305489539145,16,257,8.259273290634155,64,10,1797
digits,renyi_0.5,3,0.8277777777777777,6.207518083681287,11,201,8.245227575302124,64,10,1797
digits,renyi_2.0,3,0.8185185185185185,6.541255615062002,13,247,10.00037169456482,64,10,1797
digits,tsallis_0.5,3,0.8462962962962963,5.540043020919859,9,199,8.013195276260376,64,10,1797
digits,tsallis_1.3,3,0.85,5.406548008367573,12,249,8.819900751113892,64,10,1797
digits,tsallis_2.0,3,0.8203703703703704,6.474508108785859,15,259,9.424985647201538,64,10,1797
digits,norm_tsallis_1.3,3,0.8407407407407408,5.740285539748287,12,249,9.10707712173462,64,10,1797
digits,kumaraswamy,3,0.8592592592592593,5.0728104769868585,16,229,9.913309097290039,64,10,1797
digits,cross_entropy,3,0.10185185185185185,32.37254054392929,0,1,0.23455500602722168,64,10,1797
digits,kl_divergence,3,0.10185185185185185,32.37254054392929,0,1,0.23552227020263672,64,10,1797
digits,js_divergence,3,0.10185185185185185,32.37254054392929,0,1,0.27390599250793457,64,10,1797
digits,hellinger,3,0.10185185185185185,32.37254054392929,0,1,0.24830913543701172,64,10,1797
digits,energy,3,0.10185185185185185,32.37254054392929,0,1,0.2247476577758789,64,10,1797
digits,polarization_3.5,3,0.4759259259259259,18.88954427614843,20,239,13.79125189781189,64,10,1797
digits,bregman_squared,3,0.10185185185185185,32.37254054392929,0,1,0.25728654861450195,64,10,1797
digits,bregman_entropy,3,0.10185185185185185,32.37254054392929,0,1,0.3516669273376465,64,10,1797
digits,itc,3,0.8111111111111111,6.8082456401665725,13,259,15.021197080612183,64,10,1797
digits,itc_alpha1.3,3,0.8148148148148148,6.674750627614287,13,239,14.407731294631958,64,10,1797
digits,itc_alpha1.7,3,0.8148148148148148,6.674750627614287,13,271,15.530804634094238,64,10,1797
digits,shannon_polarization,3,0.8574074074074074,5.139557983263002,11,211,13.302459955215454,64,10,1797
digits,tsallis_hellinger,3,0.8185185185185185,6.541255615062002,11,211,14.983371257781982,64,10,1797
